movie_title,bag_of_words
Jupiter Ascending ,action adventure sci-fi box office flop critically bashed planet earth space opera woman in bra and panties  
The Legend of Tarzan ,action adventure drama romance africa capture jungle male objectification tarzan  
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",adventure family fantasy hide and seek lion magic professor snow  
X-Men: Apocalypse ,action adventure sci-fi mutant superhero superhero team x men year 1983  
The Dark Knight ,action crime drama thriller based on comic book dc comics psychopath star died before release urban setting  
Up ,adventure animation comedy family balloon house promise retirement skeleton  
Monsters vs. Aliens ,action adventure animation comedy family sci-fi alien alien invasion alien space craft giant giantess  
Iron Man ,action adventure sci-fi afghanistan billionaire inventor playboy u.s. air force  
Hugo ,adventure drama family mystery automaton mechanical railway station steampunk train  
Wild Wild West ,action comedy sci-fi western buddy movie general inventor steampunk utah  
The Mummy: Tomb of the Dragon Emperor ,action adventure fantasy horror thriller army china emperor mummy shangri la  
Suicide Squad ,action adventure comedy sci-fi based on comic book critically bashed father daughter relationship reference to superman super villain  
Evan Almighty ,comedy family fantasy ark change congressman depiction of god flood  
Edge of Tomorrow ,action adventure sci-fi alien combat dying repeatedly end of the world time loop  
Waterworld ,action adventure sci-fi thriller future sail sea smoker water  
G.I. Joe: The Rise of Cobra ,action adventure sci-fi thriller cobra gi joe snake train warhead  
Inside Out ,adventure animation comedy drama family fantasy anger joy memory running away sadness  
The Jungle Book ,adventure drama family fantasy fire jungle remake tiger wolf  
Iron Man 2 ,action adventure sci-fi hammer military monaco revenge tony stark  
Snow White and the Huntsman ,action adventure drama fantasy evil queen fairy tale magic queen snow white  
Maleficent ,action adventure family fantasy romance curse dark fantasy fairy king kingdom  
Dawn of the Planet of the Apes ,action adventure drama sci-fi ape dam leader post apocalypse sequel  
The Lovers ,action adventure romance sci-fi 1770s british india great barrier reef india ring  
47 Ronin ,action adventure drama fantasy box office flop ronin samurai shogun tournament  
Captain America: The Winter Soldier ,action adventure sci-fi conspiracy heroism megalomaniac super soldier world domination  
Shrek Forever After ,adventure animation comedy family fantasy alternate world fairy tale parody female warrior ogre true love  
Tomorrowland ,action adventure family mystery sci-fi boy genius futuristic city inventor teenage girl time travel  
Big Hero 6 ,action adventure animation comedy drama family sci-fi high tech martial arts masked man robot superhero  
Wreck-It Ralph ,adventure animation comedy family sci-fi arcade candy glitch king medal  
The Polar Express ,adventure animation family fantasy boy christmas christmas eve north pole train  
Independence Day: Resurgence ,action adventure sci-fi alien battle defense independence day mothership  
How to Train Your Dragon ,adventure animation family fantasy dragon island training viking village  
Terminator 3: Rise of the Machines ,action sci-fi drifter exploding truck future machine skynet  
Guardians of the Galaxy ,action adventure sci-fi bounty hunter outer space raccoon talking animal tree  
Interstellar ,adventure drama sci-fi black hole father daughter relationship saving the world space travel wormhole  
Inception ,action adventure sci-fi thriller ambiguous ending corporate espionage dream subconscious thief  
Godzilla Resurgence ,action adventure drama horror sci-fi blood godzilla monster sequel  
The Hobbit: An Unexpected Journey ,adventure fantasy dragon dwarf hobbit orc wizard  
The Fast and the Furious ,action crime thriller eighteen wheeler illegal street racing truck trucker undercover cop  
The Curious Case of Benjamin Button ,drama fantasy romance deformed baby diary lingerie slip older man younger woman relationship premature aging  
X-Men: First Class ,action adventure sci-fi cia cia agent mutant nuclear war professor  
The Hunger Games: Mockingjay - Part 2 ,adventure sci-fi death of sister dystopia execution rebellion revolution  
The Sorcerer's Apprentice ,action adventure family fantasy chosen one enchanted object love spell training  
Poseidon ,action adventure drama thriller cruise escape ocean passenger water  
Alice Through the Looking Glass ,adventure family fantasy clock dark fantasy mad hatter queen sequel  
Shrek the Third ,adventure animation comedy family fantasy disney spoof fairy tale prince princess tough guy  
Warcraft ,action adventure fantasy based on video game fictional language fictional war orc sword and sorcery  
Terminator Genisys ,action adventure sci-fi alternate timeline cyborg future robot time machine  
The Chronicles of Narnia: The Voyage of the Dawn Treader ,adventure family fantasy dragon king mouse quest warrior  
Pearl Harbor ,action drama history romance war air raid black smoke japanese military japanese navy sunday  
Transformers ,action adventure sci-fi alien contact autobot decepticon robot vs. robot teenage hero  
Alexander ,action adventure biography drama history romance war ancient greece conquest greek greek myth king  
Harry Potter and the Order of the Phoenix ,adventure family fantasy mystery battle magic school teacher wizard  
Harry Potter and the Goblet of Fire ,adventure family fantasy mystery fire goblet magic tournament wizard  
Hancock ,action drama bully comeuppance destruction prison superhero tough girl  
I Am Legend ,drama horror sci-fi new york city pandemic post apocalypse survivalist virus  
Charlie and the Chocolate Factory ,adventure comedy family fantasy chocolate diminution miniaturization physical flexability ticket  
Ratatouille ,animation comedy family fantasy chef food french rat restaurant  
Batman Begins ,action adventure armored car gangster gotham mixed martial arts social decay  
Madagascar: Escape 2 Africa ,action adventure animation comedy family africa madagascar new york city sequel zoo  
Night at the Museum: Battle of the Smithsonian ,adventure comedy family fantasy hdtv motorcycle museum security guard tyrannosaurus rex  
X-Men Origins: Wolverine ,action adventure fantasy sci-fi thriller army civil war claw fight commando wolverine the character  
The Matrix Revolutions ,action sci-fi battle epic fight future machine  
Frozen ,adventure animation comedy family fantasy musical magic sister love sister sister relationship snow snowman  
The Matrix Reloaded ,action sci-fi car motorcycle chase one against many oracle prophecy stylized violence  
Thor: The Dark World ,action adventure fantasy arrest portal thor warrior weapon  
Mad Max: Fury Road ,action adventure sci-fi thriller australia desert escape on the run post apocalypse  
Angels & Demons ,mystery thriller conclave illuminati murder reference to bernini reference to raphael  
Thor ,action adventure fantasy battle marvel cinematic universe scientist thor throne  
Bolt ,adventure animation comedy drama family cat dog hamster new york city superpower  
G-Force ,action adventure animation comedy family fantasy sci-fi fbi director guinea pig household appliance secret agent talking mouse  
Wrath of the Titans ,action adventure fantasy ares hades titan underworld zeus  
Dark Shadows ,comedy fantasy horror camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup  
Mission: Impossible - Rogue Nation ,action adventure thriller capture computer hacker mission rogue agent spy  
The Wolfman ,drama fantasy horror thriller asylum death full moon transformation werewolf  
Bee Movie ,adventure animation comedy family bee dream sequence egg scatological humor squashed bug  
Kung Fu Panda 2 ,action adventure animation comedy family china kung fu panda peacock tigress  
The Last Airbender ,action adventure family fantasy avatar fire kingdom tribe water  
Mission: Impossible III ,action adventure thriller arms dealer fictional government agency mission rescue vatican  
White House Down ,action drama thriller black u.s. president president secret service tour white house  
Mars Needs Moms ,action adventure animation comedy family sci-fi boy martian rescue robot sexism  
Flushed Away ,adventure animation comedy family boat frog rat sewer toad  
Pan ,adventure family fantasy 1940s child hero fantasy world orphan reference to peter pan  
Mr. Peabody & Sherman ,adventure animation comedy family sci-fi dog father son relationship inventor talking dog time travel  
Troy ,adventure greek mythology prince trojan troy  
Madagascar 3: Europe's Most Wanted ,adventure animation comedy family animal circus island name in title lemur penguin  
Die Another Day ,action adventure thriller catfight clinic colonel diamond patricide  
Ghostbusters ,action comedy fantasy sci-fi ghost ghostbuster ghostbusters male objectification reboot  
Armageddon ,action adventure sci-fi thriller asteroid astronaut bomb meteorite outer space  
Men in Black II ,action adventure comedy family fantasy mystery sci-fi alien lingerie lingerie model m.i.b. pug  
Beowulf ,action adventure animation fantasy creature demon king reward warrior  
Kung Fu Panda 3 ,action adventure animation comedy family china kung fu panda pig village  
Mission: Impossible - Ghost Protocol ,action adventure thriller dubai kremlin race against time russian terrorist  
Rise of the Guardians ,adventure animation family fantasy belief box office hit children new york city tooth  
Fun with Dick and Jane ,comedy crime animal abuse ceo heist suburb unemployment  
The Last Samurai ,action drama history war captain emperor honor japan samurai  
Exodus: Gods and Kings ,action adventure drama egypt exodus moses pharaoh plague  
Star Trek ,action adventure sci-fi box office hit future lifted by the throat star trek vulcan  
Spider-Man ,action adventure fantasy romance evil goblin spider spider man superhero  
How to Train Your Dragon 2 ,action adventure animation comedy family fantasy dragon father son relationship husband wife relationship mother son relationship viking  
Gods of Egypt ,action adventure fantasy ancient egypt egypt egyptian egyptian god egyptian goddess  
Stealth ,action adventure sci-fi thriller artificial intelligence box office flop fighter jet navy pilot  
Watchmen ,action drama mystery sci-fi conspiracy cynicism false promise of the american dream male full frontal nudity male nudity  
Lethal Weapon 4 ,action crime thriller kung fu lapd martial arts private investigator triad  
Hulk ,action sci-fi 1980s c 130 hercules monster panzer san francisco california  
G.I. Joe: Retaliation ,action adventure sci-fi thriller general gi joe martial arts ninja president  
Sahara ,action adventure comedy thriller beach civil war desert dictator ship  
Final Fantasy: The Spirits Within ,action adventure animation fantasy romance sci-fi general military scientist soldier year 2065  
Captain America: The First Avenger ,action adventure sci-fi arctic captain america scientist tesseract war bond  
The World Is Not Enough ,action adventure thriller british oil scientist terrorist tycoon  
Master and Commander: The Far Side of the World ,action adventure drama history war 1800s napoleonic wars pursuit royal navy ship  
The Twilight Saga: Breaking Dawn - Part 2 ,adventure drama fantasy romance battle friend super strength vampire vision  
Happy Feet 2 ,animation comedy family musical 3d antarctica krill penguin sequel  
The Incredible Hulk ,action adventure sci-fi antidote cure hulk marvel cinematic universe opening action scene  
Miami Vice ,action crime drama mystery thriller cult tv detective drugs police undercover  
The BFG ,adventure family fantasy cannibal evil brother giant london england queen  
The Revenant ,adventure drama thriller western bear attack cauterizing a wound native american revenge survival  
Turbo ,adventure animation comedy family sport accident freak accident race snail underdog  
Rango ,adventure animation comedy family western chameleon lizard sheriff water western town  
Penguins of Madagascar ,adventure animation comedy family little girl park spy statue of liberty television van  
The Bourne Ultimatum ,action mystery thriller action hero cia dark past flashback memory  
Kung Fu Panda ,action adventure animation comedy family kung fu kung fu master master panda snow leopard  
Ant-Man ,action adventure comedy sci-fi ant chinatown san francisco heist sabotage vault  
The Hunger Games: Catching Fire ,adventure sci-fi thriller president snow television tour uprising  
Home ,adventure animation comedy family fantasy sci-fi alien friendship alien invasion australia flying car mother daughter relationship  
War of the Worlds ,adventure sci-fi thriller alien fight storm survival tripod  
Bad Boys II ,action comedy crime thriller cuba dea drugs money undercover  
Puss in Boots ,action adventure animation comedy family fantasy betrayal egg friend goose hero  
Salt ,action crime mystery thriller cia on the run russian russian spy strong female lead  
Noah ,action adventure drama ark flood noah's ark water wrath of god  
The Adventures of Tintin ,action adventure family mystery captain morocco ship tintin treasure  
Harry Potter and the Prisoner of Azkaban ,adventure family fantasy mystery magic muggle serial killer traitor wizard  
Australia ,adventure drama romance war australia cattle darwin drover japanese  
After Earth ,action adventure sci-fi box office flop father son team fear race against time real life father and son playing father and son  
Dinosaur ,adventure animation family thriller egg iguanodon lemur meteor nesting grounds  
Harry Potter and the Deathly Hallows: Part II ,action fantasy nan  
Night at the Museum: Secret of the Tomb ,adventure comedy family fantasy museum museum of natural history manhattan new york city night watchman star died before release tablet  
Megamind ,action animation comedy family sci-fi battle city planet prison superhero  
Harry Potter and the Sorcerer's Stone ,adventure family fantasy based on novel birthday evil wizard quidditch wizard  
R.I.P.D. ,action comedy fantasy drug dealer gold partner police undead  
Pirates of the Caribbean: The Curse of the Black Pearl ,action adventure fantasy caribbean curse governor pirate undead  
Harry Potter and the Deathly Hallows: Part I ,fantasy nan  
The Hunger Games: Mockingjay - Part 1 ,adventure sci-fi thriller based on young adult novel manipulation rebellion symbol uprising  
The Da Vinci Code ,mystery thriller based on supposedly true story holy grail mary magdalene opus dei secret  
Rio 2 ,adventure animation comedy family musical amazon bird father in law jungle no opening credits  
X-Men 2 ,action adventure fantasy sci-fi thriller mutant prison professor school x men  
Fast Five ,action crime thriller drug lord drugs federal agent heist police  
Sherlock Holmes: A Game of Shadows ,action adventure crime mystery thriller factory gypsy investigation sherlock holmes train  
Clash of the Titans ,action adventure fantasy famous line hand to hand combat kraken rape zeus  
Total Recall ,action sci-fi ambiguous ending false memory implanted memory memory space colony  
The 13th Warrior ,action adventure history arab battle combat viking warrior  
The Bourne Legacy ,action adventure thriller assassin cia drone pill wolf  
Batman & Robin ,action butler critically bashed cure freeze gotham  
How the Grinch Stole Christmas ,comedy family fantasy box office hit christmas materialism public humiliation snowflake  
The Day After Tomorrow ,action adventure sci-fi thriller climate end of the world global warming natural disaster weather  
Mission: Impossible II ,action adventure thriller cure mission terrorist thief virus  
The Perfect Storm ,action adventure drama thriller death fish fishing sea storm  
Fantastic 4: Rise of the Silver Surfer ,action adventure sci-fi thriller fantastic four space strong female character strong female lead superheroine  
Life of Pi ,adventure drama fantasy animal faith india journey tiger  
Ghost Rider ,action fantasy thriller blackheart devil father ghost mephistopheles  
Jason Bourne ,action thriller black ops chase cia cia agent repeated scene  
Charlie's Angels: Full Throttle ,action adventure comedy crime fbi murder ring witness protection witness protection program  
Prometheus ,adventure mystery sci-fi cave painting medical scanner planet pregnant with an alien fetus suspended animation  
Stuart Little 2 ,adventure animation comedy family fantasy anthropomorphic mouse falcon marshmallow second part soccer  
Elysium ,action drama sci-fi thriller christ figure class differences messiah saviour social commentary  
The Chronicles of Riddick ,action adventure sci-fi thriller bounty hunter escape necromonger planet warrior  
RoboCop ,action crime sci-fi thriller law enforcement police robocop robot technology  
Speed Racer ,action family sport based on anime based on cartoon gadget car racer speed  
How Do You Know ,comedy drama romance embarrassment falling in love love love triangle revelation  
Knight and Day ,action comedy romance chase fbi garage spy surveillance  
Oblivion ,action adventure mystery sci-fi cabin in the woods drone flying through a thunderstorm post apocalypse sex in a pool  
Star Wars: Episode III - Revenge of the Sith ,action adventure fantasy sci-fi elongated cry of no friends become enemies kicked in the butt robotic midwife vision  
Star Wars: Episode II - Attack of the Clones ,action adventure fantasy sci-fi martial arts murdered before giving protagonist information part computer animation prequel prequel to cult film  
"Monsters, Inc. ",adventure animation comedy family fantasy friend little girl monster rival scream  
The Wolverine ,action adventure sci-fi thriller healing power marvel comics mecha regeneration self healing  
Star Wars: Episode I - The Phantom Menace ,action adventure fantasy sci-fi alien character says i have a bad feeling about this hand to hand combat seven word title wilhelm scream  
The Croods ,adventure animation comedy family fantasy cave caveman journey strict father survival  
Asterix at the Olympic Games ,adventure comedy family fantasy 1st century b.c. lightsaber local blockbuster magical potion potion  
Windtalkers ,action drama war code duty steel helmet u.s. marine u.s. soldier  
The Huntsman: Winter's War ,action adventure drama fantasy based on fairy tale dark fantasy fairy tale second part sequel  
Teenage Mutant Ninja Turtles ,action adventure comedy sci-fi 18 wheeler mutant ninja sewer turtle  
Gravity ,adventure drama sci-fi thriller box office hit long take sole survivor space space station  
Dante's Peak ,action adventure thriller ash escape lava mayor volcano  
Teenage Mutant Ninja Turtles: Out of the Shadows ,action adventure comedy sci-fi based on comic book brother brother relationship rat sequel turtle  
Fantastic Four ,action adventure sci-fi box office flop critically bashed portal teleportation troubled production  
Night at the Museum ,action adventure comedy family fantasy chaos museum museum of natural history night watchman watchman  
San Andreas ,action adventure drama thriller disaster movie earthquake journey natural disaster san andreas fault  
Tomorrow Never Dies ,action adventure thriller ex boyfriend ex girlfriend relationship media tycoon megalomaniac official james bond series world war three  
The Patriot ,action drama history war american revolution british french hero standoff  
Ocean's Twelve ,crime thriller father daughter relationship heist pretending to be pregnant sequel thief  
Mr. & Mrs. Smith ,action comedy crime romance thriller assassin marriage secret agent suburb target  
Insurgent ,adventure sci-fi thriller action heroine falling from height mind control trainhopping truth serum  
The Aviator ,biography drama 1920s aviation fight spruce goose test flight  
Gulliver's Travels ,adventure comedy family fantasy bermuda triangle box office hit shipwrecked travel travel writer  
The Green Hornet ,action comedy crime sci-fi thriller heir kung fu party playboy superhero  
The A-Team ,action adventure crime 1980s cult tv famous opening theme good versus evil hero for hire  
300: Rise of an Empire ,action drama fantasy war army commander female rear nudity greek navy  
The Smurfs ,adventure animation comedy family fantasy blue new york new york city no opening credits smurf  
Home on the Range ,animation comedy family music western cattle cow dairy farm farm rustler  
Allegiant ,action adventure mystery sci-fi thriller based on young adult novel dystopia genetic experimentation strong female character strong female lead  
Real Steel ,action drama sci-fi sport arena boxing boxing movie robot robot battle  
The Smurfs 2 ,adventure animation comedy family fantasy based on cartoon box office hit no opening credits sequel smurf  
Speed 2: Cruise Control ,action crime romance thriller collision course computer cruise diamonds ship run aground  
Ender's Game ,action sci-fi alien future manipulation simulation training  
Live Free or Die Hard ,action adventure thriller fbi hacker independence day police terrorist  
The Lord of the Rings: The Fellowship of the Ring ,action adventure drama fantasy elf hobbit middle earth quest ring  
Around the World in 80 Days ,action adventure comedy 19th century around the world inventor martial arts train  
Ali ,biography drama sport african american protagonist african americans boxing gym gym rumble in the jungle  
The Cat in the Hat ,adventure comedy family fantasy based on cult comic book cat home alone imagination talking cat  
"I, Robot ",action mystery sci-fi thriller humanoid robot man versus machine prosthetic limb robot as pathos robot vs. robot  
Kingdom of Heaven ,action adventure drama history war 12th century crusader jerusalem knight medieval times  
Stuart Little ,adventure comedy family fantasy box office hit cat first part mouse orphanage  
The Princess and the Frog ,animation family fantasy musical romance amphibian dream frog frog prince waitress  
The Martian ,adventure drama sci-fi astronaut international cooperation left for dead nasa space habitat  
"10,000 B.C.             ",comedy nan  
The Island ,action adventure romance sci-fi thriller clone environment escape island lottery  
Town & Country ,comedy romance anniversary architect cellist friend hardware store  
Gone in Sixty Seconds ,action crime thriller auto theft brother car theft thief  
Gladiator ,action drama romance battlefield blood combat gladiator roman empire  
Minority Report ,action mystery sci-fi thriller future murder neo noir washington d.c. year 2054  
Harry Potter and the Chamber of Secrets ,adventure family fantasy mystery bildungsroman flying broom invisibility cloak monster wizardry  
Casino Royale ,action adventure thriller casino espionage free running james bond terrorist  
Planet of the Apes ,action adventure sci-fi thriller astronaut cage planet wilhelm scream year 2029  
Terminator 2: Judgment Day ,action sci-fi future liquid metal multiple cameos sexy woman time travel  
Public Enemies ,biography crime drama history romance 1930s bank celebrity criminal fbi public enemy number one  
American Gangster ,biography crime drama death heroin popcorn smuggling vietnam  
True Lies ,action comedy thriller espionage secret agent secret mission spy spy film  
The Taking of Pelham 1 2 3 ,action crime thriller hijack hostage ransom subway train  
Little Fockers ,comedy romance birthday critically bashed male nurse nurse suspicion  
The Other Guys ,action comedy crime capitalist detective investigation new york city police  
Eraser ,action drama mystery thriller assassination attempt corporate crime rogue agent witness witness protection program  
Django Unchained ,drama western dynamite historically inaccurate ku klux klan n word slavery  
The Hunchback of Notre Dame ,animation drama family musical romance 15th century cathedral gypsy paris victor hugo  
The Emperor's New Groove ,adventure animation comedy family fantasy antidote disney emperor first part llama  
The Expendables 2 ,action adventure thriller church hostage mine plutonium revenge  
National Treasure ,action adventure comedy family mystery declaration of independence secret society treasure treasure hunt treasure hunter  
Eragon ,action adventure family fantasy dragon dragon rider fictional war sword and fantasy teenage hero  
Where the Wild Things Are ,adventure drama family fantasy based on children's book creature igloo imagination king  
Epic ,adventure animation family fantasy father daughter relationship forest miniature person shrinking sword and fantasy  
The Tourist ,action romance thriller police surveillance surveillance van tailing a suspect tourist venice italy  
End of Days ,action fantasy horror mystery atheist ex cop female masturbation female nudity lucifer  
Blood Diamond ,adventure drama thriller diamond elephant fisherman rebel sierra leone  
The Wolf of Wall Street ,biography comedy crime drama based on true story fellatio female rear nudity sex in an airplane stockbroker  
Batman Forever ,action adventure fantasy love necktie partner rock music tuxedo  
Starship Troopers ,action sci-fi war alien federation future military planet  
Cloud Atlas ,drama sci-fi composer future letter nonlinear timeline nursing home  
Legend of the Guardians: The Owls of Ga'Hoole ,action adventure animation family fantasy barn owl escape owl ruler soldier  
Catwoman ,action crime fantasy romance thriller based on cult comic book bechdel test passed cat detective radical transformation  
Hercules ,action adventure army greek mythology hercules king mercenary  
Treasure Planet ,adventure animation family sci-fi alien cyborg pirate planet treasure  
Land of the Lost ,adventure comedy sci-fi human versus dinosaur lizard primate time travel tyrannosaurus rex  
The Expendables 3 ,action adventure thriller battle fight mission pg 13 sequel to r rated franchise rescue  
Point Break ,action crime sport thriller athlete extreme sports fbi fbi agent heist  
Son of the Mask ,comedy family fantasy baby cartoon on tv cartoonist dog mask  
In the Heart of the Sea ,action adventure biography drama history thriller emaciation ship starvation vomiting whale  
The Adventures of Pluto Nash ,action comedy sci-fi casino future laser gun moon nightclub  
Green Zone ,action drama thriller war cia iraq iraqi political military conspiracy weapon of mass destruction  
The Peanuts Movie ,adventure animation comedy family dog girl imagination peanuts red hair  
The Spanish Prisoner ,drama mystery thriller brother sister relationship extradition fbi japanese tourist secret  
The Mummy Returns ,action adventure fantasy thriller ancient egypt bracelet king scorpion son  
Gangs of New York ,crime drama butcher civil war gangster new york city revenge  
The Flowers of War ,drama history romance war abusive stepfather attempted rape food shortage sexual abuse starving child  
Surf's Up ,animation comedy family sport chicken competition island penguin surfing  
The Stepford Wives ,comedy sci-fi thriller community connecticut fem bot tv producer writer  
Black Hawk Down ,drama history war army helicopter somali somalia warlord  
The Campaign ,comedy campaigning congressman north carolina title at the end u.s. congressman  
The Fifth Element ,action adventure sci-fi 1910s alien artificially created woman love taxi driver  
Sex and the City 2 ,comedy drama romance abu dhabi box office hit muslim nanny united arab emirates  
The Road to El Dorado ,adventure animation comedy family romance adventurer el dorado gold high priest implied sex  
Ice Age: Continental Drift ,adventure animation comedy family acorn herd iceberg ocean pirate  
Cinderella ,drama family fantasy romance dress duke fairy godmother fairy tale pumpkin  
The Lovely Bones ,drama fantasy thriller 1970s afterlife heaven pedophile rape  
Finding Nemo ,adventure animation comedy family great barrier reef protective father separation from family shark short term memory loss  
The Lord of the Rings: The Return of the King ,action adventure drama fantasy battle epic king orc ring  
The Lord of the Rings: The Two Towers ,action adventure drama fantasy epic evil wizard middle earth ring wizard  
Seventh Son ,action adventure fantasy apprentice demon exorcism master apprentice relationship witch  
Lara Croft: Tomb Raider ,action adventure fantasy thriller illuminati planetary alignment time tomb tomb raider  
Transcendence ,drama mystery romance sci-fi thriller artificial intelligence consciousness power outage scientist technology  
Jurassic Park III ,action adventure sci-fi thriller dinosaur island jurassic park paleontologist search  
Rise of the Planet of the Apes ,action drama sci-fi thriller alzheimer's disease ape chimpanzee fire when animals attack  
The Spiderwick Chronicles ,adventure family fantasy actor playing multiple roles brownie the creature closing credits sequence family relationships magical creature  
A Good Day to Die Hard ,action thriller bomb cia courthouse escape russian  
The Alamo ,drama history war western army dictator general texan texas  
The Incredibles ,action adventure animation family hero island lawsuit secret superhero  
Cutthroat Island ,action adventure comedy latin pirate pirate ship treasure treasure map  
Percy Jackson & the Olympians: The Lightning Thief ,adventure family fantasy greek lightning lightning bolt poseidon teenager  
Men in Black ,adventure comedy family mystery sci-fi alien box office hit flying saucer laser gun wisecrack humor  
Toy Story 2 ,adventure animation comedy family fantasy collector dog friend rescue toy  
Unstoppable ,action thriller freight train race against time runaway train train train engineer  
Rush Hour 2 ,action comedy crime thriller boat gang hong kong triad vacation  
What Lies Beneath ,drama fantasy horror mystery thriller ghost haunted house research secret vermont  
Cloudy with a Chance of Meatballs ,animation comedy family sci-fi food giant food mayor sardine weather  
Ice Age: Dawn of the Dinosaurs ,action adventure animation comedy family egg lost world rescue squirrel weasel  
